,month,cpi
187,2004.2,2.0999999999999943
186,2004.3,3.0
185,2004.4,3.799999999999997
184,2004.5,4.400000000000006
183,2004.6,5.0
182,2004.7,5.299999999999997
181,2004.8,5.299999999999997
180,2004.9,5.200000000000003
176,2005.1,1.9000000000000057
167,2005.10,1.2000000000000028
166,2005.11,1.2999999999999972
165,2005.12,1.5999999999999943
175,2005.2,3.9000000000000057
174,2005.3,2.700000000000003
173,2005.4,1.7999999999999972
172,2005.5,1.7999999999999972
171,2005.6,1.5999999999999943
170,2005.7,1.7999999999999972
169,2005.8,1.2999999999999972
168,2005.9,0.9000000000000057
164,2006.1,1.9000000000000057
155,2006.10,1.4000000000000057
154,2006.11,1.9000000000000057
153,2006.12,2.799999999999997
163,2006.2,0.9000000000000057
162,2006.3,0.7999999999999972
161,2006.4,1.2000000000000028
160,2006.5,1.4000000000000057
159,2006.6,1.5
158,2006.7,1.0
157,2006.8,1.2999999999999972
156,2006.9,1.5
152,2007.1,2.200000000000003
143,2007.10,6.5
142,2007.11,6.900000000000006
141,2007.12,6.5
151,2007.2,2.700000000000003
150,2007.3,3.299999999999997
149,2007.4,3.0
148,2007.5,3.4000000000000057
147,2007.6,4.400000000000006
146,2007.7,5.599999999999994
145,2007.8,6.5
144,2007.9,6.200000000000003
140,2008.1,7.099999999999994
131,2008.10,4.0
130,2008.11,2.4000000000000057
129,2008.12,1.2000000000000028
139,2008.2,8.700000000000003
138,2008.3,8.299999999999997
137,2008.4,8.5
136,2008.5,7.700000000000003
135,2008.6,7.099999999999994
134,2008.7,6.299999999999997
133,2008.8,4.900000000000006
132,2008.9,4.599999999999994
128,2009.1,1.0
119,2009.10,-0.5
118,2009.11,0.5999999999999943
117,2009.12,1.9000000000000057
127,2009.2,-1.5999999999999943
126,2009.3,-1.2000000000000028
125,2009.4,-1.5
124,2009.5,-1.4000000000000057
123,2009.6,-1.7000000000000028
122,2009.7,-1.7999999999999972
121,2009.8,-1.2000000000000028
120,2009.9,-0.7999999999999972
116,2010.1,1.5
107,2010.10,4.400000000000006
106,2010.11,5.099999999999994
105,2010.12,4.599999999999994
115,2010.2,2.700000000000003
114,2010.3,2.4000000000000057
113,2010.4,2.799999999999997
112,2010.5,3.0999999999999943
111,2010.6,2.9000000000000057
110,2010.7,3.299999999999997
109,2010.8,3.5
108,2010.9,3.5999999999999943
104,2011.1,4.900000000000006
95,2011.10,5.5
94,2011.11,4.200000000000003
93,2011.12,4.099999999999994
103,2011.2,4.900000000000006
102,2011.3,5.400000000000006
101,2011.4,5.299999999999997
100,2011.5,5.5
99,2011.6,6.400000000000006
98,2011.7,6.5
97,2011.8,6.200000000000003
96,2011.9,6.099999999999994
92,2012.1,4.549999999999997
83,2012.10,1.7199999999999989
82,2012.11,2.0400000000000063
81,2012.12,2.519999999999996
91,2012.2,3.1599999999999966
90,2012.3,3.5900000000000034
89,2012.4,3.3700000000000045
88,2012.5,3.0
87,2012.6,2.1500000000000057
86,2012.7,1.7800000000000011
85,2012.8,2.049999999999997
84,2012.9,1.9099999999999966
80,2013.1,2.030000000000001
71,2013.10,3.2099999999999937
70,2013.11,3.019999999999996
69,2013.12,2.6500000000000057
79,2013.2,3.219999999999999
78,2013.3,2.069999999999993
77,2013.4,2.3900000000000006
76,2013.5,2.0999999999999943
75,2013.6,2.6700000000000017
74,2013.7,2.6700000000000017
73,2013.8,2.569999999999993
72,2013.9,3.049999999999997
68,2014.1,2.489999999999995
59,2014.10,1.5999999999999943
58,2014.11,1.4399999999999977
57,2014.12,2.6200000000000045
67,2014.2,1.9500000000000028
66,2014.3,2.3799999999999955
65,2014.4,1.7999999999999972
64,2014.5,2.480000000000004
63,2014.6,2.3400000000000034
62,2014.7,2.2900000000000063
61,2014.8,1.9899999999999949
60,2014.9,1.6299999999999955
56,2015.1,0.7600000000000051
47,2015.10,1.269999999999996
46,2015.11,1.4899999999999949
45,2015.12,1.6400000000000006
55,2015.2,1.4300000000000068
54,2015.3,1.3799999999999955
53,2015.4,1.5100000000000051
52,2015.5,1.230000000000004
51,2015.6,1.3900000000000006
50,2015.7,1.6500000000000057
49,2015.8,1.9599999999999937
48,2015.9,1.5999999999999943
44,2016.1,1.7999999999999972
